"transect","lat","long","elev","station"
5,55.11800,113.17770,659,"H01"
6,54.83086,111.71303,638,"H02"
7,54.84142,111.68275,632,"H03"
8,54.92947,111.54272,631,"H04"
9,54.83367,111.83833,584,"H05"
10,55.00214,111.72625,583,"H06"
"A",55.03378,111.68131,590,"H07"
"B",55.05169,111.27083,642,"H08"
"C",55.22258,114.52303,690,"H09"
"D",55.75720,114.17707,619,"H10"
"E",55.43587,114.50148,880,"H11"
"F",55.06740,111.81083,593,"H12"
"G",55.55811,111.23728,608,"H13"
"H",55.05505,111.90391,592,"H14"
"L",53.59482,117.66908,1308,"H15"
"Q",54.10420,115.74607,781,"H16"
"R",56.57132,118.74682,717,"H17"
"S",56.49118,119.69407,689,"H18"
"T",55.54449,118.74207,785,"H19"
"U",56.46520,118.31264,722,"H20"
"V",55.59850,118.10932,638,"H21"
"W",54.31787,115.59122,855,"H22"
"X",54.32247,115.70438,907,"H23"
"Y",54.47620,116.78887,792,"H24"
"Z",53.04467,115.01394,856,"H25"
"BB",56.15955,115.30962,661,"H26"
"CC",55.81953,115.21168,649,"H27"
"DD",56.80310,115.25830,490,"H28"
"EE",57.18723,115.11473,457,"H29"
"FF",56.43615,115.32547,564,"H30"
"GG",58.73213,117.25108,340,"H31"
"HH",58.52923,117.29200,336,"H32"
"II",58.47338,115.78662,277,"H33"
"JJ",57.84962,115.37582,353,"H34"
"KK",57.99397,117.41682,351,"H35"
"MM",53.74975,116.61757,972,"H36"
"NN",53.52275,116.06300,934,"H37"
"QQ",58.54185,115.61575,330,"H38"
"RR",57.48171,117.4985,659,"H39"
"SS",57.13625,117.73016,629,"H40"
"AA",55.72825,110.98185,573,"H41"
"XX",56.51937,111.29796,435,"H42"
"YY",57.14961,111.63776,266,"H43"
"ZZ",56.02589,110.88319,492,"H44"
"TT",52.58402,115.35296,1032,"H45"
"UU",52.22392,115.25336,1288,"H46"
"VV",52.36902,115.30183,1138,"H47"
"WW",52.04897,115.07789,1212,"H48"
"PP",58.781,117.37814,360,"H49"
"N",52.80327,115.63083,1019,"H50"
